clorofila_a_mg_l,alcalinidad_total_mg_ca_co3_l,conductividad_m_s_cm,fosforo_total_mg_p_l,solidos_suspendidos_totales_mg_l,potencial_de_hidrogeno_p_h_sin_unid,temperatura_o_c,date,date_time,estacion,river,data_model
5,24,61.6,230,3,7.2,29.6,2016-01-26,2016-01-26T00:00:00Z,RU8,Uruguay,Train
3,27,67.1,230,9,7.35,NA,2016-01-27,2016-01-27T00:00:00Z,RU10,Uruguay,Train
0.9,24,62.6,240,2,7.2,28.1,2016-01-27,2016-01-27T00:00:00Z,RU11,Uruguay,Train
3.7,23,57.8,240,4,7.26,28.5,2016-01-27,2016-01-27T00:00:00Z,RU12,Uruguay,Train
1.8,24,63.7,230,3,7.31,28.6,2016-01-27,2016-01-27T00:00:00Z,RU13,Uruguay,Train
2.2,23,62.3,230,3,7.38,28.1,2016-01-27,2016-01-27T00:00:00Z,RU14,Uruguay,Train
5,24,62.5,120,4,7.3,28.7,2016-01-27,2016-01-27T00:00:00Z,RU15,Uruguay,Train
1.9,24,60.9,230,1,7.43,27.8,2016-01-27,2016-01-27T00:00:00Z,RU16,Uruguay,Train
6.1,24,60.3,230,6,7.22,26.9,2016-01-27,2016-01-27T00:00:00Z,RU9,Uruguay,Train
NA,NA,75.7,140,2,7.7,28.9,2016-03-08,2016-03-08T00:00:00Z,RU0,Uruguay,Train
0.9,31,58,140,2,7.94,26.5,2016-03-08,2016-03-08T00:00:00Z,RU1,Uruguay,Train
0.7,32,56.7,120,1,7.21,26.3,2016-03-08,2016-03-08T00:00:00Z,RU2,Uruguay,Train
2.1,32,55.6,130,2,7.75,26.8,2016-03-08,2016-03-08T00:00:00Z,RU3,Uruguay,Train
7.5,30,51.6,110,7,7.86,27.4,2016-03-08,2016-03-08T00:00:00Z,RU4,Uruguay,Train
1.8,32,55.5,120,2,7.98,26.6,2016-03-08,2016-03-08T00:00:00Z,RU5,Uruguay,Train
4,31,55.1,130,1,8.21,27.2,2016-03-08,2016-03-08T00:00:00Z,RU6,Uruguay,Train
2.8,31,55.2,130,1,6.98,25.9,2016-03-08,2016-03-08T00:00:00Z,RU7,Uruguay,Train
2.1,31,73.1,130,1,6.94,NA,2016-03-08,2016-03-08T00:00:00Z,RU8,Uruguay,Train
5.2,33,69,150,4,7.39,NA,2016-03-09,2016-03-09T00:00:00Z,RU10,Uruguay,Train
1.2,31,67.6,130,2,7.44,NA,2016-03-09,2016-03-09T00:00:00Z,RU11,Uruguay,Train
1,31,69.4,130,2,7.66,NA,2016-03-09,2016-03-09T00:00:00Z,RU12,Uruguay,Train
2.7,31,71.3,130,2,7.49,26.7,2016-03-09,2016-03-09T00:00:00Z,RU13,Uruguay,Train
1.6,31,69.9,130,1,7.56,25.8,2016-03-09,2016-03-09T00:00:00Z,RU14,Uruguay,Train
1.9,31,68.7,120,2,7.58,26.2,2016-03-09,2016-03-09T00:00:00Z,RU15,Uruguay,Train
1.6,32,73.4,130,2,NA,7.56,2016-03-09,2016-03-09T00:00:00Z,RU16,Uruguay,Train
8.3,35,70,130,6,7.34,NA,2016-03-09,2016-03-09T00:00:00Z,RU9,Uruguay,Train
NA,NA,67.2,77,10,7.32,14.6,2016-05-03,2016-05-03T00:00:00Z,RU0,Uruguay,Train
0.1,28,51.9,74,12,7.64,13.8,2016-05-03,2016-05-03T00:00:00Z,RU1,Uruguay,Train
NA,29,52.3,75,2,7.41,13.6,2016-05-03,2016-05-03T00:00:00Z,RU2,Uruguay,Train
0.1,25,53.1,71,9,7.45,14.1,2016-05-03,2016-05-03T00:00:00Z,RU3,Uruguay,Train
1.3,23,49.8,65,4,7.63,12.5,2016-05-03,2016-05-03T00:00:00Z,RU4,Uruguay,Train
3,24,56,73,9,7.43,14.3,2016-05-03,2016-05-03T00:00:00Z,RU5,Uruguay,Train
NA,24,53.4,73,5,7.66,13.5,2016-05-03,2016-05-03T00:00:00Z,RU6,Uruguay,Train
0.4,26,55.6,75,9,7.56,14.1,2016-05-03,2016-05-03T00:00:00Z,RU7,Uruguay,Train
0.1,27,63.7,77,6,7.41,14.3,2016-05-03,2016-05-03T00:00:00Z,RU8,Uruguay,Train
0.1,26,118.3,69,4,7.5,13.8,2016-05-04,2016-05-04T00:00:00Z,RU10,Uruguay,Train
0.1,26,56.7,74,5,7.72,14,2016-05-04,2016-05-04T00:00:00Z,RU11,Uruguay,Train
0.4,25,56.1,69,10,7.33,14.1,2016-05-04,2016-05-04T00:00:00Z,RU12,Uruguay,Train
1.2,27,59.3,76,4,7.4,15.1,2016-05-04,2016-05-04T00:00:00Z,RU13,Uruguay,Train
0.1,26,60.8,82,5,7.6,13.8,2016-05-04,2016-05-04T00:00:00Z,RU14,Uruguay,Train
NA,23,59,71,10,7.21,14.4,2016-05-04,2016-05-04T00:00:00Z,RU15,Uruguay,Train
0.1,29,63.8,76,4,8.5,14.3,2016-05-04,2016-05-04T00:00:00Z,RU16,Uruguay,Train
1.2,30,63.5,82,3,7.22,13.4,2016-05-04,2016-05-04T00:00:00Z,RU9,Uruguay,Train
NA,NA,63.7,82,18,7.15,13,2016-07-05,2016-07-05T00:00:00Z,RU0,Uruguay,Train
0.9,29,48.9,79,16,6.4,12.9,2016-07-05,2016-07-05T00:00:00Z,RU1,Uruguay,Train
NA,40,49.3,130,5,6.68,12.7,2016-07-05,2016-07-05T00:00:00Z,RU2,Uruguay,Train
0.6,30,49.1,74,9,6.26,12.9,2016-07-05,2016-07-05T00:00:00Z,RU3,Uruguay,Train
1.6,29,49.9,67,5,7.72,13,2016-07-05,2016-07-05T00:00:00Z,RU4,Uruguay,Train
0.3,29,49.4,73,11,6.65,12.9,2016-07-05,2016-07-05T00:00:00Z,RU5,Uruguay,Train
0.1,34,54.2,84,6,7.07,14.5,2016-07-05,2016-07-05T00:00:00Z,RU6,Uruguay,Train
0.1,29,49.2,70,10,6.35,13,2016-07-05,2016-07-05T00:00:00Z,RU7,Uruguay,Train
0.4,35,50.5,76,5,5.88,13.3,2016-07-05,2016-07-05T00:00:00Z,RU8,Uruguay,Train
1.3,51,73.5,110,4,7.89,12.9,2016-07-06,2016-07-06T00:00:00Z,RU10,Uruguay,Train
0.9,48,51.3,79,7,7.34,13.3,2016-07-06,2016-07-06T00:00:00Z,RU11,Uruguay,Train
0.3,31,54.5,78,9,7.42,13.2,2016-07-06,2016-07-06T00:00:00Z,RU12,Uruguay,Train
NA,33,81.9,81,6,7.81,14.2,2016-07-06,2016-07-06T00:00:00Z,RU13,Uruguay,Train
0.3,37,56.2,81,8,7.67,14.5,2016-07-06,2016-07-06T00:00:00Z,RU14,Uruguay,Train
0.3,28,50.1,71,15,7.32,13.6,2016-07-06,2016-07-06T00:00:00Z,RU15,Uruguay,Train
3.1,40,59.7,77,15,8.81,15.2,2016-07-06,2016-07-06T00:00:00Z,RU16,Uruguay,Train
0.1,38,54.2,81,4,7.67,12.8,2016-07-06,2016-07-06T00:00:00Z,RU9,Uruguay,Train
0.9,30,61.6,NA,5,7.49,13.7,2016-09-07,2016-09-07T00:00:00Z,RU1,Uruguay,Train
0.3,31,62.7,NA,7,7.68,12.9,2016-09-07,2016-09-07T00:00:00Z,RU2,Uruguay,Train
0.4,30,62.4,NA,6,7.83,13.6,2016-09-07,2016-09-07T00:00:00Z,RU3,Uruguay,Train
0.7,29,60.9,NA,4,7.82,13.3,2016-09-07,2016-09-07T00:00:00Z,RU4,Uruguay,Train
0.7,29,61.1,NA,11,7.72,13.5,2016-09-07,2016-09-07T00:00:00Z,RU5,Uruguay,Train
1.3,27,56.5,NA,31,7.73,12.6,2016-09-07,2016-09-07T00:00:00Z,RU6,Uruguay,Train
0.7,29,61.8,NA,7,7.87,13.4,2016-09-07,2016-09-07T00:00:00Z,RU7,Uruguay,Train
1,30,63.1,NA,9,7.87,13.2,2016-09-07,2016-09-07T00:00:00Z,RU8,Uruguay,Train
1.2,35,71.7,NA,4,7.74,13,2016-09-09,2016-09-09T00:00:00Z,RU10,Uruguay,Train
0.6,33,67.6,NA,4,7.7,13.5,2016-09-09,2016-09-09T00:00:00Z,RU11,Uruguay,Train
0.4,33,69.3,NA,6,7.82,13.7,2016-09-09,2016-09-09T00:00:00Z,RU12,Uruguay,Train
0.4,35,68.2,NA,3,7.92,13.9,2016-09-09,2016-09-09T00:00:00Z,RU13,Uruguay,Train
0.4,36,69.7,NA,4,7.86,13.2,2016-09-09,2016-09-09T00:00:00Z,RU14,Uruguay,Train
0.4,30,63.7,NA,9,7.85,13.8,2016-09-09,2016-09-09T00:00:00Z,RU15,Uruguay,Train
0.4,37,77,NA,10,8.02,13.5,2016-09-09,2016-09-09T00:00:00Z,RU16,Uruguay,Train
0.6,38,75.6,NA,4,7.67,12.8,2016-09-09,2016-09-09T00:00:00Z,RU9,Uruguay,Train
NA,NA,NA,75,12,NA,NA,2016-11-08,2016-11-08T00:00:00Z,RU0,Uruguay,Train
0.7,26,62.8,87,8,7.55,22,2016-11-08,2016-11-08T00:00:00Z,RU1,Uruguay,Train
5.2,31,73.7,76,6,7.43,24.6,2016-11-08,2016-11-08T00:00:00Z,RU10,Uruguay,Train
0.4,30,69.2,77,6,7.49,22.7,2016-11-08,2016-11-08T00:00:00Z,RU11,Uruguay,Train
1.3,31,70.8,66,5,7.31,22.9,2016-11-08,2016-11-08T00:00:00Z,RU2,Uruguay,Train
0.3,30,69.1,76,6,7.35,22.4,2016-11-08,2016-11-08T00:00:00Z,RU3,Uruguay,Train
1.9,23,61,77,15,7.58,23.2,2016-11-08,2016-11-08T00:00:00Z,RU4,Uruguay,Train
0.3,28,63.2,75,6,7.47,22.1,2016-11-08,2016-11-08T00:00:00Z,RU5,Uruguay,Train
0.6,31,69.5,68,6,7.6,22.6,2016-11-08,2016-11-08T00:00:00Z,RU6,Uruguay,Train
0.6,32,69.2,56,5,7.39,22.4,2016-11-08,2016-11-08T00:00:00Z,RU7,Uruguay,Train
0.3,30,70.1,71,5,7.69,23.2,2016-11-08,2016-11-08T00:00:00Z,RU8,Uruguay,Train
0.7,29,72.5,85,4,7.29,24.4,2016-11-08,2016-11-08T00:00:00Z,RU9,Uruguay,Train
0.6,31,67.2,80,8,7.46,22.6,2016-11-09,2016-11-09T00:00:00Z,RU12,Uruguay,Train
1.2,30,70.3,81,7,7.47,23.1,2016-11-09,2016-11-09T00:00:00Z,RU13,Uruguay,Train
NA,31,71,85,4,7.38,23,2016-11-09,2016-11-09T00:00:00Z,RU14,Uruguay,Train
0.7,24,59.4,83,11,7.59,22.8,2016-11-09,2016-11-09T00:00:00Z,RU15,Uruguay,Train
0.7,31,75.4,78,5,7.42,23.5,2016-11-09,2016-11-09T00:00:00Z,RU16,Uruguay,Train
NA,NA,61.1,68,9,7.06,27.6,2017-01-16,2017-01-16T13:40:00Z,RU0,Uruguay,Train
0.9,23,62,74,11,6.85,27.4,2017-01-17,2017-01-17T10:07:00Z,RU1,Uruguay,Train
1.8,17,68.9,88,7,7.3,26.8,2017-01-17,2017-01-17T10:34:00Z,RU2,Uruguay,Train
1,23,62.7,72,10,7.11,27.4,2017-01-17,2017-01-17T11:10:00Z,RU3,Uruguay,Train
4.1,23,61,66,14,6.8,26.6,2017-01-17,2017-01-17T11:35:00Z,RU4,Uruguay,Train
0.7,23,62.5,76,11,6.76,27.4,2017-01-17,2017-01-17T11:57:00Z,RU5,Uruguay,Train
1,25,65.7,78,8,7.2,27.5,2017-01-17,2017-01-17T12:12:00Z,RU6,Uruguay,Train
0.6,24,64.1,73,9,7.3,27.4,2017-01-17,2017-01-17T12:53:00Z,RU7,Uruguay,Train
0.7,25,65.7,63,9,7.22,27.4,2017-01-17,2017-01-17T13:04:00Z,RU8,Uruguay,Train
2.5,30,76.6,110,11,6.76,27.1,2017-01-18,2017-01-18T09:22:00Z,RU9,Uruguay,Train
1.5,24,67.5,79,7,6.83,27.4,2017-01-18,2017-01-18T09:33:00Z,RU10,Uruguay,Train
0.7,23,64.1,79,11,6.79,27.6,2017-01-18,2017-01-18T09:47:00Z,RU11,Uruguay,Train
0.7,22,65.2,73,8,6.92,27.6,2017-01-18,2017-01-18T09:59:00Z,RU12,Uruguay,Train
1.3,23,66.2,73,5,7,27.8,2017-01-18,2017-01-18T10:10:00Z,RU13,Uruguay,Train
1.2,22,64.7,75,11,7.13,27.9,2017-01-18,2017-01-18T11:10:00Z,RU15,Uruguay,Train
1.5,26,71.3,770,8,7.25,28.4,2017-01-18,2017-01-18T11:31:00Z,RU14,Uruguay,Train
2.1,25,72.3,80,10,7.28,27.9,2017-01-18,2017-01-18T11:40:00Z,RU16,Uruguay,Train
NA,NA,68,48,NA,7.25,28.6,2017-03-06,2017-03-06T14:15:00Z,RU0,Uruguay,Train
NA,24,65.9,65,NA,6.96,26.7,2017-03-07,2017-03-07T10:25:00Z,RU1,Uruguay,Train
1.3,25,67.4,71,NA,7.48,26.8,2017-03-07,2017-03-07T10:53:00Z,RU2,Uruguay,Train
1.3,25,66.3,57,NA,7.32,26.9,2017-03-07,2017-03-07T11:31:00Z,RU3,Uruguay,Train
10.2,28,67,57,12,7.76,26.2,2017-03-07,2017-03-07T12:06:00Z,RU4,Uruguay,Train
5.8,24,66.7,66,NA,7.42,27.8,2017-03-07,2017-03-07T12:36:00Z,RU5,Uruguay,Train
NA,24,67.2,66,NA,7.37,27.7,2017-03-07,2017-03-07T12:57:00Z,RU6,Uruguay,Train
0.4,24,66.8,64,NA,7.31,27.7,2017-03-07,2017-03-07T13:36:00Z,RU7,Uruguay,Train
4.4,23,67.9,63,NA,7.41,28,2017-03-07,2017-03-07T13:56:00Z,RU8,Uruguay,Train
3,30,76.4,74,10,7.31,25.8,2017-03-08,2017-03-08T09:45:00Z,RU9,Uruguay,Train
8.4,33,81.4,NA,37,7.26,25.7,2017-03-08,2017-03-08T09:59:00Z,RU10,Uruguay,Train
0.6,25,65.8,68,6,7.25,26.5,2017-03-08,2017-03-08T10:15:00Z,RU11,Uruguay,Train
0.1,25,69.3,69,5,7.2,26.6,2017-03-08,2017-03-08T10:41:00Z,RU12,Uruguay,Train
3,25,69.1,68,5,7.43,26.6,2017-03-08,2017-03-08T11:06:00Z,RU13,Uruguay,Train
3,25,66.2,67,6,7.22,26.8,2017-03-08,2017-03-08T12:50:00Z,RU15,Uruguay,Train
1.5,25,68.3,67,NA,7.38,26.4,2017-03-08,2017-03-08T13:20:00Z,RU14,Uruguay,Train
5.2,28,73.7,66,NA,7.31,26.3,2017-03-08,2017-03-08T13:30:00Z,RU16,Uruguay,Train
NA,NA,51.6,89,NA,7.35,15.3,2017-07-24,2017-07-24T13:49:00Z,RU0,Uruguay,Train
NA,26,52.7,83,NA,7.36,14.9,2017-07-25,2017-07-25T10:21:00Z,RU1,Uruguay,Train
NA,27,53,87,NA,7.29,14.7,2017-07-25,2017-07-25T11:40:00Z,RU2,Uruguay,Train
NA,28,54.6,85,NA,7.33,14.8,2017-07-25,2017-07-25T12:05:00Z,RU3,Uruguay,Train
NA,28,54.5,92,10,7.35,14.7,2017-07-25,2017-07-25T13:05:00Z,RU4,Uruguay,Train
NA,27,54.4,85,NA,7.38,14.7,2017-07-25,2017-07-25T13:34:00Z,RU5,Uruguay,Train
NA,28,55,82,NA,7.19,14.8,2017-07-25,2017-07-25T14:20:00Z,RU6,Uruguay,Train
NA,28,58,86,NA,7.52,14.6,2017-07-25,2017-07-25T14:57:00Z,RU7,Uruguay,Train
NA,28,56,84,NA,7.27,14.6,2017-07-25,2017-07-25T15:31:00Z,RU8,Uruguay,Train
NA,32,65.9,93,NA,7.14,14.9,2017-07-26,2017-07-26T10:11:00Z,RU9,Uruguay,Train
NA,31,60.2,93,NA,7.34,14.9,2017-07-26,2017-07-26T10:26:00Z,RU10,Uruguay,Train
NA,29,55.9,83,NA,7.33,15,2017-07-26,2017-07-26T10:39:00Z,RU11,Uruguay,Train
NA,29,57.3,87,NA,7.6,15.1,2017-07-26,2017-07-26T10:51:00Z,RU12,Uruguay,Train
NA,33,58.6,83,NA,7.45,15.2,2017-07-26,2017-07-26T11:58:00Z,RU13,Uruguay,Train
NA,28,53.7,86,NA,7.39,15.1,2017-07-26,2017-07-26T12:51:00Z,RU15,Uruguay,Train
NA,33,63.1,86,NA,7.46,15.4,2017-07-26,2017-07-26T12:57:00Z,RU14,Uruguay,Train
NA,36,72.2,85,NA,6.95,16.3,2017-07-26,2017-07-26T13:05:00Z,RU16,Uruguay,Train
NA,NA,57.9,86,6,6.96,22.4,2017-11-06,2017-11-06T15:15:00Z,RU0,Uruguay,Train
NA,23,63,67,6,7.09,22.3,2017-11-07,2017-11-07T09:15:00Z,RU1,Uruguay,Train
NA,29,71.9,77,NA,6.94,22.4,2017-11-07,2017-11-07T09:30:00Z,RU2,Uruguay,Train
NA,27,72,73,NA,7.06,22.3,2017-11-07,2017-11-07T09:50:00Z,RU3,Uruguay,Train
4,21,57.4,61,5,7.12,22.2,2017-11-07,2017-11-07T10:10:00Z,RU4,Uruguay,Train
NA,22,62.5,76,6,7.06,22.2,2017-11-07,2017-11-07T10:22:00Z,RU5,Uruguay,Train
NA,27,70,81,NA,7.06,22.4,2017-11-07,2017-11-07T10:35:00Z,RU6,Uruguay,Train
NA,25,66.8,76,5,7.15,22.2,2017-11-07,2017-11-07T11:00:00Z,RU7,Uruguay,Train
NA,26,69.5,73,NA,7.08,22.5,2017-11-07,2017-11-07T11:12:00Z,RU8,Uruguay,Train
3.2,29,74.1,86,5,7.28,21.8,2017-11-08,2017-11-08T08:40:00Z,RU9,Uruguay,Train
NA,28,72.7,74,NA,7.18,22.1,2017-11-08,2017-11-08T08:50:00Z,RU10,Uruguay,Train
NA,28,71.4,74,NA,7.03,22.1,2017-11-08,2017-11-08T09:00:00Z,RU11,Uruguay,Train
NA,25,69.3,67,NA,7.18,22.2,2017-11-08,2017-11-08T09:20:00Z,RU12,Uruguay,Train
NA,27,72,68,NA,7.19,22.4,2017-11-08,2017-11-08T09:35:00Z,RU13,Uruguay,Train
NA,20,58.7,69,6,7.11,22.6,2017-11-08,2017-11-08T10:35:00Z,RU15,Uruguay,Train
NA,27,71.9,85,NA,7.07,22.7,2017-11-08,2017-11-08T10:45:00Z,RU14,Uruguay,Train
NA,26,73.1,71,NA,7.12,23.6,2017-11-08,2017-11-08T10:45:00Z,RU16,Uruguay,Train
NA,NA,78.9,83,6,8.88,NA,2018-01-08,2018-01-08T13:25:00Z,RU0,Uruguay,Train
10,26,75.9,56,6,8.1,NA,2018-01-09,2018-01-09T08:00:00Z,RU1,Uruguay,Train
NA,29,74.6,82,NA,7.15,NA,2018-01-09,2018-01-09T08:45:00Z,RU2,Uruguay,Train
4.6,29,75.7,120,NA,7.7,NA,2018-01-09,2018-01-09T09:00:00Z,RU3,Uruguay,Train
6.5,29,75.6,77,5,7.92,NA,2018-01-09,2018-01-09T09:45:00Z,RU5,Uruguay,Train
7.3,29,75.8,64,NA,7.92,NA,2018-01-09,2018-01-09T10:10:00Z,RU6,Uruguay,Train
8.5,29,80.1,60,5,7.9,NA,2018-01-09,2018-01-09T10:50:00Z,RU7,Uruguay,Train
8.8,30,84.4,58,NA,7.91,NA,2018-01-09,2018-01-09T11:10:00Z,RU8,Uruguay,Train
14,31,79.4,61,12,8.48,NA,2018-01-10,2018-01-10T08:20:00Z,RU9,Uruguay,Train
14,31,79.8,64,29,7.78,NA,2018-01-10,2018-01-10T08:35:00Z,RU10,Uruguay,Train
7.2,29,77.6,63,5,7.08,NA,2018-01-10,2018-01-10T08:50:00Z,RU11,Uruguay,Train
8,29,78.8,66,NA,7.89,NA,2018-01-10,2018-01-10T09:10:00Z,RU12,Uruguay,Train
7.9,30,82.3,75,5,7.14,NA,2018-01-10,2018-01-10T09:35:00Z,RU13,Uruguay,Train
11,29,78.7,72,6,7.96,NA,2018-01-10,2018-01-10T10:45:00Z,RU15,Uruguay,Train
17,31,82.4,47,7,NA,NA,2018-01-10,2018-01-10T11:15:00Z,RU14,Uruguay,Train
12,31,82.1,58,5,NA,NA,2018-01-10,2018-01-10T11:35:00Z,RU16,Uruguay,Train
NA,NA,81.9,100,NA,7.15,27.6,2018-03-05,2018-03-05T15:30:00Z,RU0,Uruguay,Train
NA,23,81,100,NA,7.49,26.7,2018-03-06,2018-03-06T08:22:00Z,RU1,Uruguay,Train
NA,23,80.9,83,NA,7.59,26.5,2018-03-06,2018-03-06T08:49:00Z,RU2,Uruguay,Train
NA,23,83.6,82,NA,7.59,26.6,2018-03-06,2018-03-06T09:31:00Z,RU3,Uruguay,Train
2.3,23,79.9,80,NA,7.65,26,2018-03-06,2018-03-06T10:05:00Z,RU4,Uruguay,Train
NA,23,83,87,NA,7.6,26.6,2018-03-06,2018-03-06T10:22:00Z,RU5,Uruguay,Train
NA,23,85.1,85,NA,7.61,26.4,2018-03-06,2018-03-06T10:56:00Z,RU6,Uruguay,Train
NA,22,82.1,91,NA,7.59,26.6,2018-03-06,2018-03-06T11:16:00Z,RU7,Uruguay,Train
2.4,23,82.9,170,NA,7.63,26.5,2018-03-06,2018-03-06T12:00:00Z,RU8,Uruguay,Train
2.2,22,78.1,120,6,7.78,23.8,2018-03-07,2018-03-07T08:10:00Z,RU9,Uruguay,Train
2.6,24,85.3,140,NA,7.76,25.3,2018-03-07,2018-03-07T08:35:00Z,RU10,Uruguay,Train
4.6,27,85,140,NA,7.68,25.9,2018-03-07,2018-03-07T08:50:00Z,RU11,Uruguay,Train
2.3,26,83.6,130,NA,7.67,26,2018-03-07,2018-03-07T09:05:00Z,RU12,Uruguay,Train
NA,27,90.2,90,NA,7.7,26.1,2018-03-07,2018-03-07T09:50:00Z,RU13,Uruguay,Train
NA,22,80.6,150,NA,7.74,26.3,2018-03-07,2018-03-07T11:45:00Z,RU14,Uruguay,Train
3.4,22,78.8,940,NA,7.7,25,2018-03-07,2018-03-07T12:30:00Z,RU15,Uruguay,Train
3.3,21,80.2,90,NA,7.88,26,2018-03-07,2018-03-07T12:45:00Z,RU16,Uruguay,Train
NA,NA,77.8,120,21,6.37,21.3,2018-05-07,2018-05-07T14:20:00Z,RU0,Uruguay,Train
NA,30,81.6,130,14,6.57,21.5,2018-05-08,2018-05-08T09:30:00Z,RU1,Uruguay,Train
NA,34,92.8,120,5,6.61,21,2018-05-08,2018-05-08T09:45:00Z,RU2,Uruguay,Train
NA,32,88.1,120,8,7.01,21.3,2018-05-08,2018-05-08T10:10:00Z,RU3,Uruguay,Train
NA,29,78.6,110,13,7.2,20.7,2018-05-08,2018-05-08T10:45:00Z,RU4,Uruguay,Train
NA,33,88.3,140,8,7.15,21.3,2018-05-08,2018-05-08T11:00:00Z,RU6,Uruguay,Train
NA,31,84,120,12,7.12,21.4,2018-05-08,2018-05-08T11:10:00Z,RU5,Uruguay,Train
NA,32,87.7,130,11,7.24,21.4,2018-05-08,2018-05-08T11:50:00Z,RU7,Uruguay,Train
NA,33,88.7,130,9,7.24,21.2,2018-05-08,2018-05-08T12:25:00Z,RU8,Uruguay,Train
NA,49,124,180,10,7.55,20.2,2018-05-09,2018-05-09T08:55:00Z,RU9,Uruguay,Train
2.9,38,99.5,160,8,7.45,20.8,2018-05-09,2018-05-09T09:10:00Z,RU10,Uruguay,Train
NA,30,84.4,130,9,7.16,21.1,2018-05-09,2018-05-09T09:20:00Z,RU11,Uruguay,Train
NA,28,79,110,14,7.16,21.3,2018-05-09,2018-05-09T09:30:00Z,RU12,Uruguay,Train
2.4,31,86.6,130,7,7.19,21.4,2018-05-09,2018-05-09T10:08:00Z,RU13,Uruguay,Train
2.3,27,76.3,130,26,6.88,21.5,2018-05-09,2018-05-09T11:08:00Z,RU15,Uruguay,Train
NA,33,91.1,130,6,7.12,21,2018-05-09,2018-05-09T11:37:00Z,RU14,Uruguay,Train
NA,36,99.6,130,6,7.39,20.8,2018-05-09,2018-05-09T11:45:00Z,RU16,Uruguay,Train
NA,43,83.8,110,20,6.7,14,2018-09-04,2018-09-04T09:45:00Z,RU1,Uruguay,Train
NA,43,83,89,6,6.8,13.6,2018-09-04,2018-09-04T10:00:00Z,RU2,Uruguay,Train
NA,44,85.4,100,14,6.94,13.9,2018-09-04,2018-09-04T10:15:00Z,RU3,Uruguay,Train
2.3,33,67,66,NA,6.81,13.2,2018-09-04,2018-09-04T10:30:00Z,RU4,Uruguay,Train
NA,41,82.5,96,18,7.05,14,2018-09-04,2018-09-04T10:40:00Z,RU5,Uruguay,Train
NA,44,85.4,100,8,7.13,14,2018-09-04,2018-09-04T10:45:00Z,RU6,Uruguay,Train
NA,43,84.2,130,17,7.09,14.2,2018-09-04,2018-09-04T11:00:00Z,RU7,Uruguay,Train
NA,44,86.5,100,6,7.3,14.5,2018-09-04,2018-09-04T11:30:00Z,RU8,Uruguay,Train
NA,NA,75.5,100,30,7.04,14.6,2018-09-04,2018-09-04T13:30:00Z,RU0,Uruguay,Train
NA,62,120.6,99,5,7.37,14.7,2018-09-05,2018-09-05T08:50:00Z,RU9,Uruguay,Train
NA,45,87.5,92,11,7.21,14.2,2018-09-05,2018-09-05T09:20:00Z,RU11,Uruguay,Train
NA,41,78.2,88,24,7.14,14.2,2018-09-05,2018-09-05T09:35:00Z,RU12,Uruguay,Train
NA,46,91.7,99,13,7.19,14.3,2018-09-05,2018-09-05T09:45:00Z,RU13,Uruguay,Train
NA,55,101.7,98,5,7.32,14.1,2018-09-05,2018-09-05T09:50:00Z,RU10,Uruguay,Train
NA,38,75.2,110,45,6.88,14.3,2018-09-05,2018-09-05T10:30:00Z,RU15,Uruguay,Train
NA,46,91.1,110,13,7.09,14.3,2018-09-05,2018-09-05T10:47:00Z,RU14,Uruguay,Train
NA,46,92.3,97,NA,7.34,14.5,2018-09-05,2018-09-05T11:00:00Z,RU16,Uruguay,Train
